着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,6,12,アオイタケル,牡3,57.0,藤岡佑,2:00.2,,1,1.9,36.0,2-2-2-2,栗東四位,484(-2),1,2000,芝,晴,良
2.0,1,2,メイショウキンタイ,牡3,57.0,武豊,2:00.6,2.1/2,2,2.9,36.0,7-6-5-3,栗東高橋亮,476(+4),1,2000,芝,晴,良
3.0,2,3,カリータフェリス,牝3,51.0,★小林美,2:00.8,1,6,32.8,35.6,16-16-14-13,美浦鈴木慎,426(-2),1,2000,芝,晴,良
4.0,7,13,ヤマニンヒストリア,牡3,57.0,鮫島駿,2:00.9,1,3,7.8,36.4,4-4-3-3,栗東中村,458(+8),0,2000,芝,晴,良
5.0,6,11,コンスピラシー,牝3,53.0,△長浜,2:01.1,1,9,72.8,36.2,10-9-10-11,美浦本間,454(+6),0,2000,芝,晴,良
6.0,7,14,クラウドプリーザー,牝3,55.0,横山和,2:01.2,クビ,7,37.6,36.6,5-5-5-7,美浦菊沢,476(+8),0,2000,芝,晴,良
7.0,3,5,ウインイルネージュ,牝3,55.0,丹内,2:01.3,3/4,5,14.5,36.4,12-11-10-8,美浦和田郎,432(+14),0,2000,芝,晴,良
8.0,2,4,キタノアンシェル,牝3,55.0,佐々木,2:01.4,クビ,10,74.8,36.4,15-12-12-8,美浦蛯名利,414(0),0,2000,芝,晴,良
9.0,8,16,アウルムレガリア,牝3,52.0,▲上里,2:01.4,クビ,16,372.1,36.2,9-10-14-15,美浦池上,404(+6),0,2000,芝,晴,良
10.0,5,9,ダイハッシュウ,牡3,54.0,▲森田,2:01.5,クビ,15,299.0,36.2,10-12-14-16,栗東牧田,446(+12),0,2000,芝,晴,良
11.0,8,15,ノボリユーミン,牝3,52.0,▲柴田裕,2:01.7,1.1/2,11,179.3,37.1,13-12-5-5,栗東石橋,470(-4),0,2000,芝,晴,良
12.0,3,6,ドルチェリターン,牡3,57.0,北村友,2:01.8,1/2,4,12.3,38.4,1-1-1-1,栗東池添,464(+6),0,2000,芝,晴,良
13.0,1,1,マナミン,牝3,52.0,▲橋木,2:01.9,3/4,14,267.0,36.9,7-8-12-13,栗東高橋康,442(+10),0,2000,芝,晴,良
14.0,4,7,スリーセンス,牝3,55.0,横山武,2:02.0,1/2,8,54.1,37.3,13-12-8-8,栗東中竹,434(+4),0,2000,芝,晴,良
15.0,5,10,セブンスプリングス,セ3,54.0,▲舟山,2:02.2,1.1/4,12,205.3,37.8,3-3-3-5,栗東中村,474(+2),0,2000,芝,晴,良
16.0,4,8,アルファシリウス,牡3,54.0,▲川端,2:02.2,クビ,13,265.7,37.5,5-6-8-11,栗東矢作,466(+10),0,2000,芝,晴,良
1.0,6,10,ブラックチャリス,牝2,55.0,浜中,1:08.2,,3,7.2,34.4,3-2,栗東武幸,432(0),1,1200,芝,曇,良
2.0,3,4,トウカイマシェリ,牝2,55.0,鮫島駿,1:08.7,3,1,2.1,35.3,1-1,栗東高柳大,446(0),1,1200,芝,曇,良
3.0,6,11,ショウナンカリス,牝2,55.0,北村友,1:08.9,1.1/4,4,9.0,35.3,2-2,美浦加藤士,404(0),1,1200,芝,曇,良
4.0,5,8,ワイズギャング,牝2,55.0,古川吉,1:09.1,1.1/4,10,58.5,34.8,6-6,栗東河嶋,442(0),0,1200,芝,曇,良
5.0,5,9,シャインフォーミー,牝2,55.0,丹内,1:09.3,1.1/2,2,5.9,34.6,8-8,美浦尾関,434(0),0,1200,芝,曇,良
6.0,8,14,スノーランス,牝2,55.0,佐々木,1:09.7,2,11,77.6,35.4,6-7,美浦上原佑,450(0),0,1200,芝,曇,良
7.0,4,6,プレセピオ,牝2,55.0,岩田康,1:09.9,1,6,12.2,35.8,4-4,栗東笹田,460(0),0,1200,芝,曇,良
8.0,2,2,ステイフリー,牝2,51.0,★小林美,1:10.2,2,7,20.9,34.2,13-13,栗東高橋忠,444(0),0,1200,芝,曇,良
